event_id blob_id cy cx iy ix y_strip x_strip area real_area
61 1 66.500000 55.500000 66 56 1670 1411 16 16
62 0 28.000000 24.500000 28 24 2012 2494 6 6
63 0 20.000000 4.500000 20 4 646 634 2 2
64 0 54.333333 35.333333 54 35 1580 2119 3 3
64 1 54.500000 44.000000 54 44 1580 2133 2 2
65 0 45.000000 6.500000 45 6 2623 3067 2 2
65 1 45.000000 21.000000 45 21 2623 3082 1 1
65 2 45.000000 35.000000 45 35 2623 3120 1 1
65 3 61.000000 35.000000 61 35 2647 3120 1 1
65 4 67.500000 40.500000 68 40 2654 3128 2 2
65 5 83.000000 41.000000 83 41 2669 3129 1 1
66 0 16.000000 47.000000 16 47 2816 3336 1 1
67 0 39.722222 36.277778 40 36 1526 1359 18 18
69 0 30.071429 29.142857 30 29 2818 3093 14 14
70 0 70.285714 34.476190 70 34 1922 2226 21 21
71 0 3.000000 49.000000 3 49 945 903 1 1
71 1 20.000000 75.500000 20 76 977 936 6 6
71 2 30.500000 41.000000 30 41 996 889 6 6
71 3 90.000000 75.250000 90 75 1109 935 4 4
71 4 91.000000 41.000000 91 41 1110 889 1 1
72 0 30.000000 34.000000 30 34 2394 2635 1 1
72 1 30.000000 40.000000 30 40 2394 2653 1 1
72 2 41.000000 40.000000 41 40 2420 2653 1 1
73 0 103.500000 49.000000 104 49 1928 1946 2 2
74 0 43.000000 29.500000 43 30 1652 1475 2 2
75 0 43.500000 47.000000 44 47 2517 2881 20 20
76 0 39.000000 22.000000 39 22 1171 1661 9 9
77 0 108.000000 99.500000 108 100 2292 2708 6 6
78 0 57.382022 15.662921 57 16 1418 1810 89 89
79 0 50.585366 72.658537 51 73 1164 1129 41 41
79 1 50.000000 60.000000 50 60 1163 1116 1 1
80 0 9.363636 5.090909 9 5 2902 3543 11 11
81 0 48.500000 13.500000 48 14 2749 3393 48 48
82 0 24.571429 27.714286 25 28 1362 1385 7 7
83 0 73.000000 25.000000 73 25 1911 2078 1 1
83 1 73.000000 31.000000 73 31 1911 2085 1 1
83 2 82.000000 31.500000 82 32 1919 2086 12 12
83 3 82.000000 25.000000 82 25 1919 2078 1 1
84 0 51.500000 49.000000 52 49 2827 3192 6 6
85 0 7.000000 57.000000 7 57 1398 1431 1 1
85 1 15.000000 1.000000 15 1 1433 1356 1 1
85 2 20.333333 69.333333 20 69 1438 1444 3 3
85 3 21.000000 1.000000 21 1 1439 1356 1 1
85 4 43.000000 27.000000 43 27 1465 1401 1 1
85 5 65.000000 1.000000 65 1 1486 1356 1 1
86 0 78.422222 27.911111 78 28 1605 1855 45 45
87 0 44.916667 36.916667 45 37 1762 2448 24 24
87 1 77.000000 37.000000 77 37 1795 2448 1 1
87 2 118.000000 36.000000 118 36 1848 2447 1 1
88 0 14.000000 0.000000 14 0 1953 1942 1 1
88 1 57.250000 39.083333 57 39 2022 1999 24 24
88 2 68.192308 38.846154 68 39 2036 1999 26 26
88 3 68.500000 28.500000 68 28 2036 1988 2 2
89 0 15.000000 35.000000 15 35 1331 1365 15 15
90 0 24.000000 62.500000 24 62 1005 1167 20 20
91 0 0.000000 26.000000 0 26 1069 874 1 1
91 1 51.500000 25.500000 52 26 1168 874 2 2
91 2 52.000000 49.250000 52 49 1168 916 4 4
91 3 73.200000 25.600000 73 26 1213 874 10 10
91 4 73.000000 49.000000 73 49 1213 916 1 1
92 0 75.500000 1.000000 76 1 807 503 12 12
93 0 12.500000 54.500000 12 54 2794 3612 24 24
93 1 50.000000 93.000000 50 93 2901 3743 1 1
94 0 47.500000 46.500000 48 46 1098 1391 16 16
94 1 81.550000 46.200000 82 46 1146 1391 20 20
95 0 43.000000 55.000000 43 55 2436 2715 3 3
96 0 58.074074 33.407407 58 33 2299 2764 27 27
96 1 57.000000 17.000000 57 17 2298 2735 1 1
97 0 74.000000 21.000000 74 21 2713 3038 3 3
98 0 4.714286 31.428571 5 31 1470 1398 7 7
98 1 32.500000 31.500000 32 32 1499 1399 2 2
98 2 46.500000 31.500000 46 32 1522 1399 2 2
98 3 47.000000 23.000000 47 23 1523 1364 1 1
98 4 63.500000 31.500000 64 32 1572 1399 12 12
98 5 92.000000 32.000000 92 32 1603 1399 1 1
98 6 108.000000 32.000000 108 32 1632 1399 1 1
99 0 73.000000 66.000000 73 66 821 1091 77 77
100 0 25.000000 49.000000 25 49 2766 3518 3 3
101 0 28.000000 32.000000 28 32 2090 2856 1 1
101 1 46.500000 31.500000 46 32 2138 2856 16 16
102 0 35.000000 43.000000 35 43 1802 1937 1 1
102 1 52.000000 44.000000 52 44 1826 1938 1 1
102 2 74.000000 44.000000 74 44 1848 1938 25 25
102 3 93.000000 43.000000 93 43 1877 1937 1 1
103 0 71.500000 12.500000 72 12 2519 3511 8 8
104 0 70.500000 25.500000 70 26 2707 3292 4 4
105 0 49.500000 40.000000 50 40 1592 1395 12 12
106 0 30.500000 19.000000 30 19 1512 1547 6 6
108 0 108.400000 41.800000 108 42 2636 2766 5 5
109 0 64.000000 44.000000 64 44 2725 2875 3 3
110 0 46.500000 41.000000 46 41 2552 3047 6 6
111 0 76.500000 24.000000 76 24 1677 2109 2 2
111 1 124.000000 24.000000 124 24 1761 2109 1 1
112 0 32.036585 15.939024 32 16 1260 965 82 82
113 0 11.500000 33.500000 12 34 1461 2030 2 2
113 1 40.000000 32.000000 40 32 1512 2028 1 1
113 2 40.000000 44.000000 40 44 1512 2051 1 1
113 3 44.666667 33.000000 45 33 1517 2029 3 3
113 4 52.500000 33.375000 52 33 1524 2029 8 8
113 5 53.000000 23.000000 53 23 1525 2019 1 1
113 6 54.500000 31.000000 54 31 1526 2027 2 2
113 7 74.000000 34.000000 74 34 1551 2030 1 1
114 0 27.333333 52.000000 27 52 2478 2671 18 18
115 0 41.000000 14.500000 41 14 1207 1314 12 12
116 0 41.500000 39.000000 42 39 2303 2786 6 6
116 1 71.000000 39.000000 71 39 2372 2786 1 1
116 2 101.000000 39.000000 101 39 2409 2786 1 1
116 3 103.000000 39.000000 103 39 2411 2786 1 1
117 0 17.000000 21.000000 17 21 1677 2346 3 3
117 1 54.666667 21.333333 55 21 1729 2346 3 3
118 0 54.000000 55.000000 54 55 1670 1619 1 1
119 0 9.000000 33.000000 9 33 2595 3037 1 1
119 1 47.875000 11.125000 48 11 2658 3006 8 8
119 2 48.357143 32.714286 48 33 2658 3037 14 14
119 3 48.000000 28.000000 48 28 2658 3032 1 1
119 4 64.868421 30.052632 65 30 2681 3034 38 38
119 5 65.000000 11.000000 65 11 2681 3006 1 1
119 6 95.000000 33.500000 95 34 2729 3038 2 2
120 0 24.523810 69.142857 25 69 2602 2932 21 21
121 0 3.000000 29.000000 3 29 2337 2866 1 1
121 1 60.000000 28.500000 60 28 2443 2865 30 30
121 2 79.000000 29.000000 79 29 2483 2866 1 1
122 0 60.612903 26.935484 61 27 1797 1929 31 31
123 0 11.250000 22.000000 11 22 2946 3574 4 4
123 1 11.500000 38.000000 12 38 2947 3659 6 6
123 2 35.000000 21.000000 35 21 3079 3573 1 1
124 0 4.000000 27.000000 4 27 1261 1884 1 1
124 1 4.000000 36.000000 4 36 1261 1942 1 1
124 2 19.000000 27.000000 19 27 1284 1884 1 1
124 3 24.000000 27.000000 24 27 1293 1884 1 1
124 4 24.000000 36.000000 24 36 1293 1942 1 1
124 5 39.000000 27.000000 39 27 1308 1884 1 1
125 0 79.500000 23.500000 80 24 2351 3255 4 4
125 1 86.000000 23.500000 86 24 2357 3255 6 6
126 0 1.000000 17.500000 1 18 2210 2596 12 12
126 1 76.500000 12.000000 76 12 2335 2557 2 2
127 0 57.333333 23.111111 57 23 1743 1780 9 9
128 0 42.000000 32.000000 42 32 2200 2212 1 1
128 1 58.200000 10.100000 58 10 2247 2146 10 10
128 2 65.000000 32.000000 65 32 2258 2212 1 1
129 0 21.500000 12.000000 22 12 2089 2887 2 2
129 1 62.500000 12.000000 62 12 2152 2887 2 2
129 2 84.000000 12.000000 84 12 2224 2887 1 1
130 0 58.500000 45.000000 58 45 2023 2472 20 20
132 0 29.000000 13.000000 29 13 2886 3381 9 9
133 0 47.428571 24.119048 47 24 1810 2024 42 42
134 0 43.363636 35.590909 43 36 2526 3008 22 22
135 0 47.800000 26.960000 48 27 2836 3397 25 25
136 0 40.000000 20.000000 40 20 1554 1696 1 1
136 1 75.000000 19.000000 75 19 1601 1694 1 1
136 2 75.000000 33.000000 75 33 1601 1718 1 1
136 3 121.500000 19.500000 122 20 1701 1696 4 4
136 4 122.000000 32.000000 122 32 1701 1717 1 1
137 0 39.000000 5.000000 39 5 1814 1670 1 1
137 1 75.000000 13.500000 75 14 1861 1719 56 56
138 0 33.500000 23.500000 34 24 2767 3046 48 48
139 0 71.200000 13.600000 71 14 2109 2394 5 5
139 1 83.500000 14.000000 84 14 2129 2394 2 2
140 0 38.500000 60.000000 38 60 2808 3218 10 10
141 0 60.666667 21.666667 61 22 2658 3289 3 3
141 1 91.000000 21.000000 91 21 2693 3288 1 1
141 2 131.000000 21.500000 131 22 2739 3289 12 12
142 0 82.500000 49.500000 82 50 1737 1831 16 16
143 0 61.000000 41.000000 61 41 1943 2474 1 1
144 0 55.000000 19.500000 55 20 1335 1300 12 12
145 0 18.500000 23.500000 18 24 1659 1952 24 24
147 0 94.000000 38.500000 94 38 1686 1462 30 30
149 0 78.500000 24.500000 78 24 1473 1885 16 16
150 0 56.500000 23.000000 56 23 2871 3060 2 2
150 1 82.500000 23.000000 82 23 2951 3060 2 2
150 2 97.000000 23.000000 97 23 2974 3060 1 1
151 0 117.000000 10.000000 117 10 2119 2547 9 9
152 0 15.000000 25.000000 15 25 2649 3251 1 1
152 1 32.000000 2.000000 32 2 2680 3218 1 1
152 2 32.000000 12.000000 32 12 2680 3228 1 1
152 3 50.000000 40.000000 50 40 2696 3278 1 1
152 4 65.000000 39.000000 65 39 2725 3277 1 1
153 0 49.500000 25.500000 50 26 2422 2836 4 4
154 0 47.200000 21.000000 47 21 1885 2445 10 10
154 1 47.500000 40.000000 48 40 1886 2491 20 20
