event_id blob_id cy cx iy ix y_strip x_strip area real_area
95 2 20.333333 69.333333 20 69 1438 1444 3 3
95 3 21.000000 1.000000 21 1 1439 1356 1 1
95 4 43.000000 27.000000 43 27 1465 1401 1 1
95 5 65.000000 1.000000 65 1 1486 1356 1 1
96 0 78.422222 27.911111 78 28 1605 1855 45 45
97 0 44.916667 36.916667 45 37 1762 2448 24 24
97 1 77.000000 37.000000 77 37 1795 2448 1 1
97 2 118.000000 36.000000 118 36 1848 2447 1 1
98 0 14.000000 0.000000 14 0 1953 1942 1 1
98 1 57.250000 39.083333 57 39 2022 1999 24 24
98 2 68.192308 38.846154 68 39 2036 1999 26 26
98 3 68.500000 28.500000 68 28 2036 1988 2 2
99 0 15.000000 35.000000 15 35 1331 1365 15 15
100 0 173.500000 68.500000 174 68 1190 1402 16 16
101 0 24.000000 62.500000 24 62 1005 1167 20 20
102 0 65.500000 38.500000 66 38 859 503 16 16
103 0 0.000000 26.000000 0 26 1069 874 1 1
103 1 51.500000 25.500000 52 26 1168 874 2 2
103 2 52.000000 49.250000 52 49 1168 916 4 4
103 3 73.200000 25.600000 73 26 1213 874 10 10
103 4 73.000000 49.000000 73 49 1213 916 1 1
104 0 75.500000 1.000000 76 1 807 503 12 12
105 0 12.500000 54.500000 12 54 2794 3612 24 24
105 1 50.000000 93.000000 50 93 2901 3743 1 1
106 0 47.500000 46.500000 48 46 1098 1391 16 16
106 1 81.550000 46.200000 82 46 1146 1391 20 20
107 0 43.000000 55.000000 43 55 2436 2715 3 3
108 0 58.074074 33.407407 58 33 2299 2764 27 27
108 1 57.000000 17.000000 57 17 2298 2735 1 1
109 0 74.000000 21.000000 74 21 2713 3038 3 3
110 0 4.714286 31.428571 5 31 1470 1398 7 7
110 1 32.500000 31.500000 32 32 1499 1399 2 2
110 2 46.500000 31.500000 46 32 1522 1399 2 2
110 3 47.000000 23.000000 47 23 1523 1364 1 1
110 4 63.500000 31.500000 64 32 1572 1399 12 12
110 5 92.000000 32.000000 92 32 1603 1399 1 1
110 6 108.000000 32.000000 108 32 1632 1399 1 1
111 0 73.000000 66.000000 73 66 821 1091 77 77
112 0 25.000000 49.000000 25 49 2766 3518 3 3
113 0 28.000000 32.000000 28 32 2090 2856 1 1
113 1 46.500000 31.500000 46 32 2138 2856 16 16
114 0 35.000000 43.000000 35 43 1802 1937 1 1
114 1 52.000000 44.000000 52 44 1826 1938 1 1
114 2 74.000000 44.000000 74 44 1848 1938 25 25
114 3 93.000000 43.000000 93 43 1877 1937 1 1
115 0 71.500000 12.500000 72 12 2519 3511 8 8
116 0 70.500000 25.500000 70 26 2707 3292 4 4
117 0 49.500000 40.000000 50 40 1592 1395 12 12
118 0 30.500000 19.000000 30 19 1512 1547 6 6
120 0 108.400000 41.800000 108 42 2636 2766 5 5
121 0 64.000000 44.000000 64 44 2725 2875 3 3
122 0 46.500000 41.000000 46 41 2552 3047 6 6
123 0 76.500000 24.000000 76 24 1677 2109 2 2
123 1 124.000000 24.000000 124 24 1761 2109 1 1
124 0 32.036585 15.939024 32 16 1260 965 82 82
125 0 176.547619 27.380952 177 27 1750 2311 42 42
126 0 11.500000 33.500000 12 34 1461 2030 2 2
126 1 40.000000 32.000000 40 32 1512 2028 1 1
126 2 40.000000 44.000000 40 44 1512 2051 1 1
126 3 44.500000 32.500000 44 32 1516 2028 2 2
126 4 52.500000 33.375000 52 33 1524 2029 8 8
126 5 53.000000 23.000000 53 23 1525 2019 1 1
126 6 54.500000 31.000000 54 31 1526 2027 2 2
126 7 74.000000 34.000000 74 34 1551 2030 1 1
127 0 27.333333 52.000000 27 52 2478 2671 18 18
128 0 16.000000 37.500000 16 38 1758 2665 2 2
128 1 191.400000 206.400000 191 206 2116 3048 15 15
128 2 191.250000 447.750000 191 448 2116 3634 8 8
128 3 357.000000 206.500000 357 206 2444 3048 12 12
128 4 357.000000 449.000000 357 449 2444 3635 1 1
128 5 411.500000 190.000000 412 190 2567 3032 2 2
128 6 476.000000 206.000000 476 206 2669 3048 1 1
128 7 742.312500 206.250000 742 206 3301 3048 16 16
129 0 119.000000 37.000000 119 37 874 617 1 1
129 1 174.000000 37.000000 174 37 955 617 1 1
129 2 174.000000 60.000000 174 60 955 653 1 1
129 3 213.285714 36.857143 213 37 1043 617 7 7
129 4 213.000000 60.000000 213 60 1043 653 15 15
130 0 41.000000 14.500000 41 14 1207 1314 12 12
131 0 241.500000 56.500000 242 56 1402 1352 8 8
132 0 41.500000 39.000000 42 39 2303 2786 6 6
132 1 71.000000 39.000000 71 39 2372 2786 1 1
132 2 101.000000 39.000000 101 39 2409 2786 1 1
132 3 103.000000 39.000000 103 39 2411 2786 1 1
133 0 17.000000 21.000000 17 21 1677 2346 3 3
133 1 54.666667 21.333333 55 21 1729 2346 3 3
134 0 54.000000 55.000000 54 55 1670 1619 1 1
135 0 9.000000 33.000000 9 33 2595 3037 1 1
135 1 47.875000 11.125000 48 11 2658 3006 8 8
135 2 48.357143 32.714286 48 33 2658 3037 14 14
135 3 48.000000 28.000000 48 28 2658 3032 1 1
135 4 64.868421 30.052632 65 30 2681 3034 38 38
135 5 65.000000 11.000000 65 11 2681 3006 1 1
135 6 95.000000 33.500000 95 34 2729 3038 2 2
136 0 117.500000 78.000000 118 78 1066 904 12 12
136 1 117.000000 57.000000 117 57 1065 866 1 1
136 2 207.000000 19.000000 207 19 1175 685 1 1
136 3 235.000000 73.000000 235 73 1224 900 1 1
137 0 24.523810 69.142857 25 69 2602 2932 21 21
138 0 3.000000 29.000000 3 29 2337 2866 1 1
138 1 60.000000 28.500000 60 28 2443 2865 30 30
138 2 79.000000 29.000000 79 29 2483 2866 1 1
139 0 60.612903 26.935484 61 27 1797 1929 31 31
140 0 11.250000 22.000000 11 22 2946 3574 4 4
140 1 11.500000 38.000000 12 38 2947 3659 6 6
140 2 35.000000 21.000000 35 21 3079 3573 1 1
141 0 93.000000 60.500000 93 60 995 749 40 40
142 0 4.000000 27.000000 4 27 1261 1884 1 1
142 1 4.000000 36.000000 4 36 1261 1942 1 1
142 2 19.000000 27.000000 19 27 1284 1884 1 1
142 3 24.000000 27.000000 24 27 1293 1884 1 1
142 4 24.000000 36.000000 24 36 1293 1942 1 1
142 5 39.000000 27.000000 39 27 1308 1884 1 1
143 0 79.500000 23.500000 80 24 2351 3255 4 4
