Event_ID	2D_hit_ID	Hit_center_U_strip_ID	Hit_center_V_strip_ID
12	10	1681	1599
13	0	801	962
13	1	801	963
13	2	801	1016
13	3	840.5	1016
13	4	840.5	1063
13	5	840.5	1063
13	6	843	1016
13	7	843	1063
13	8	843	1063
13	9	917	1063
13	10	917	1063
13	11	917	1092.5
13	12	917	1108
13	13	917	1134.5
14	0	767	896.5
14	1	767	912
14	2	767	941
14	3	767	950.5
14	4	799.5	912
14	5	799.5	941
14	6	799.5	950.5
14	7	816.5	941
14	8	816.5	950.5
15	0	1642.5	1703.5
15	1	1642.5	1705.5
15	2	1642.5	1744
15	3	1642.5	1790.5
15	4	1657.5	1703.5
15	5	1657.5	1705.5
15	6	1657.5	1744
15	7	1657.5	1790.5
15	8	1668.5	1744
15	9	1668.5	1790.5
15	10	1674.5	1744
15	11	1674.5	1790.5
15	12	1700	1744
15	13	1700	1790.5
15	14	1700	1830.5
15	15	1710.5	1744
15	16	1710.5	1790.5
15	17	1710.5	1830.5
15	18	1710.5	1844
15	19	1711.5	1744
15	20	1711.5	1790.5
15	21	1711.5	1830.5
15	22	1711.5	1844
16	0	2371.5	2019
16	1	2371.5	2029
16	2	2371.5	2064.5
16	3	2371.5	2070.5
16	4	2371.5	2091.5
17	0	1304.5	1397
17	1	1304.5	1408
17	2	1304.5	1432
17	3	1304.5	1438
17	4	1304.5	1460
17	5	1411	1460
18	0	2190	1789
18	1	2190	1789
18	2	2190	1799
18	3	2256.5	1875
18	4	2256.5	1890.5
18	5	2256.5	1899.5
18	6	2256.5	1908.5
18	7	2275	1875
18	8	2275	1890.5
18	9	2275	1899.5
18	10	2275	1908.5
18	11	2275	1913
18	12	2275	1916
18	13	2289	1875
18	14	2289	1890.5
18	15	2289	1899.5
18	16	2289	1908.5
18	17	2289	1913
18	18	2289	1916
18	19	2289	1931.5
18	20	2292.5	1875
18	21	2292.5	1890.5
18	22	2292.5	1899.5
18	23	2292.5	1908.5
18	24	2292.5	1913
18	25	2292.5	1916
18	26	2292.5	1931.5
18	27	2296	1875
18	28	2296	1890.5
18	29	2296	1899.5
18	30	2296	1908.5
18	31	2296	1913
18	32	2296	1916
18	33	2296	1931.5
18	34	2325	1875
18	35	2325	1890.5
18	36	2325	1899.5
18	37	2325	1908.5
18	38	2325	1913
18	39	2325	1916
18	40	2325	1931.5
18	41	2325	1944
19	0	780.5	780
19	1	780.5	793
19	2	780.5	812.5
19	3	780.5	847
19	4	780.5	871.5
19	5	794.5	780
19	6	794.5	793
19	7	794.5	812.5
19	8	794.5	847
19	9	794.5	871.5
19	10	803.5	793
19	11	803.5	812.5
19	12	803.5	847
19	13	803.5	871.5
19	14	811.5	793
19	15	811.5	812.5
19	16	811.5	847
19	17	811.5	871.5
19	18	883	847
19	19	883	871.5
19	20	883	904
19	21	883	937
20	0	1936	1351
20	1	1936	1354
20	2	1936	1361
20	3	1936	1378.5
20	4	1936	1411.5
20	5	1936	1430.5
20	6	1936	1436
20	7	1984	1378.5
20	8	1984	1411.5
20	9	1984	1430.5
20	10	1984	1436
20	11	1984	1444
20	12	1984	1458
20	13	2001.5	1378.5
20	14	2001.5	1411.5
20	15	2001.5	1430.5
20	16	2001.5	1436
20	17	2001.5	1444
20	18	2001.5	1458
20	19	2001.5	1483.5
20	20	2016.5	1411.5
20	21	2016.5	1430.5
20	22	2016.5	1436
20	23	2016.5	1444
20	24	2016.5	1458
20	25	2016.5	1483.5
20	26	2016.5	1488.5
20	27	2021	1411.5
20	28	2021	1430.5
20	29	2021	1436
20	30	2021	1444
20	31	2021	1458
20	32	2021	1483.5
20	33	2021	1488.5
20	34	2022.5	1411.5
20	35	2022.5	1430.5
20	36	2022.5	1436
20	37	2022.5	1444
20	38	2022.5	1458
20	39	2022.5	1483.5
20	40	2022.5	1488.5
20	41	2043.5	1411.5
20	42	2043.5	1430.5
20	43	2043.5	1436
20	44	2043.5	1444
20	45	2043.5	1458
20	46	2043.5	1483.5
20	47	2043.5	1488.5
21	0	3342	2840.5
21	1	3342	2858
21	2	3342	2858
21	3	3342	2858
21	4	3342	2872.5
21	5	3342	2892.5
21	6	3357	2858
21	7	3357	2858
21	8	3357	2858
21	9	3357	2872.5
21	10	3357	2892.5
21	11	3375	2872.5
21	12	3375	2892.5
21	13	3392	2892.5
21	14	3446.5	2989
21	15	3446.5	3003.5
21	16	3448.5	2989
21	17	3448.5	3003.5
21	18	3477	2989
21	19	3477	3003.5
22	0	2945	2157.5
22	1	2945	2211.5
22	2	2989	2211.5
22	3	2989	2268
22	4	3045.5	2268
23	0	1208.5	992
23	1	1208.5	1012.5
23	2	1208.5	1016.5
23	3	1208.5	1045
23	4	1208.5	1048
23	5	1208.5	1077.5
23	6	1208.5	1082
23	7	1273	1045
23	8	1273	1048
23	9	1273	1077.5
23	10	1273	1082
23	11	1273	1105
23	12	1273	1126.5
23	13	1281	1045
23	14	1281	1048
23	15	1281	1077.5
23	16	1281	1082
23	17	1281	1105
23	18	1281	1126.5
23	19	1333	1077.5
23	20	1333	1082
23	21	1333	1105
23	22	1333	1126.5
23	23	1333	1165.5
23	24	1349	1082
23	25	1349	1105
23	26	1349	1126.5
23	27	1349	1165.5
25	0	2684.5	1948
25	1	2684.5	1967.5
25	2	2717	1948
25	3	2717	1967.5
25	4	2717	2023.5
25	5	2748.5	1967.5
25	6	2748.5	2023.5
26	0	3453.5	3088
26	1	3453.5	3094.5
26	2	3467	3088
26	3	3467	3094.5
26	4	3472.5	3088
26	5	3472.5	3094.5
26	6	3553	3094.5
26	7	3553	3127.5
26	8	3578	3088
26	9	3578	3094.5
26	10	3578	3127.5
26	11	3585.5	3088
26	12	3585.5	3094.5
26	13	3585.5	3127.5
27	0	534.5	478
27	1	534.5	556
28	0	1511	1580
28	1	1511	1604
28	2	1511	1641.5
28	3	1511	1674
28	4	1582	1641.5
28	5	1582	1674
29	0	2701	2345
29	1	2701	2345.5
29	2	2701	2355.5
29	3	2701	2370
29	4	2701	2376.5
29	5	2701	2377.5
29	6	2701	2387.5
29	7	2701	2420
29	8	2701	2425.5
29	9	2701	2428.5
29	10	2701	2436
29	11	2733	2387.5
29	12	2753.5	2370
29	13	2753.5	2376.5
29	14	2753.5	2377.5
29	15	2753.5	2387.5
29	16	2753.5	2420
29	17	2753.5	2425.5
29	18	2753.5	2428.5
29	19	2753.5	2436
29	20	2764	2376.5
29	21	2764	2377.5
29	22	2764	2387.5
29	23	2764	2420
29	24	2764	2425.5
29	25	2764	2428.5
29	26	2764	2436
29	27	2764	2481
29	28	2787	2420
29	29	2787	2425.5
29	30	2787	2428.5
29	31	2787	2436
29	32	2787	2481
30	0	2126	2143
30	1	2188.5	2214
30	2	2202.5	2214
30	3	2202.5	2243
30	4	2222	2214
30	5	2222	2243
30	6	2222	2250
30	7	2222	2255
30	8	2235	2214
30	9	2235	2243
30	10	2235	2250
30	11	2235	2255
30	12	2235	2264
31	0	1143	1105
31	1	1143	1154.5
31	2	1143	1184
32	0	1974	1514.5
32	1	1974	1520
32	2	1974	1540.5
32	3	1974	1546
32	4	2020.5	1540.5
32	5	2020.5	1546
32	6	2020.5	1604
32	7	2020.5	1622
32	8	2029.5	1540.5
32	9	2029.5	1546
32	10	2029.5	1604
32	11	2029.5	1622
32	12	2099	1604
32	13	2099	1622
32	14	2099	1644
32	15	2099	1657.5
32	16	2099	1677
33	0	2390.5	2071.5
33	1	2390.5	2080
33	2	2390.5	2083.5
33	3	2390.5	2095
33	4	2390.5	2102.5
33	5	2412	2071.5
33	6	2412	2080
33	7	2412	2083.5
33	8	2412	2095
33	9	2412	2102.5
33	10	2412	2126.5
33	11	2438.5	2071.5
33	12	2438.5	2080
33	13	2438.5	2083.5
33	14	2438.5	2095
33	15	2438.5	2102.5
33	16	2438.5	2126.5
34	0	2872	2152.5
34	1	2872	2173
34	2	2882.5	2152.5
34	3	2882.5	2173
34	4	2903.5	2152.5
34	5	2903.5	2173
34	6	2903.5	2243
34	7	2915	2152.5
34	8	2915	2173
34	9	2915	2243
34	10	2959.5	2243
34	11	2959.5	2275.5
34	12	2959.5	2285
34	13	2990.5	2243
34	14	2990.5	2275.5
34	15	2990.5	2285
35	0	2703	1965
35	1	2703	2012
35	2	2703	2043.5
35	3	2735	2012
35	4	2735	2043.5
35	5	2775.5	2012
35	6	2775.5	2043.5
35	7	2775.5	2092.5
35	8	2782	2043.5
35	9	2782	2092.5
35	10	2792	2043.5
35	11	2792	2092.5
35	12	2792	2123
36	0	2469	2244.5
36	1	2469	2276.5
36	2	2495.5	2276.5
36	3	2502.5	2276.5
36	4	2546	2397
36	5	2578.5	2397
36	6	2578.5	2397
36	7	2578.5	2405.5
36	8	2578.5	2415
36	9	2578.5	2427
36	10	2592.5	2397
36	11	2592.5	2397
36	12	2592.5	2405.5
36	13	2592.5	2415
36	14	2592.5	2427
37	0	2760.5	2547.5
37	1	2760.5	2560
37	2	2760.5	2574.5
37	3	2760.5	2580.5
37	4	2760.5	2591.5
37	5	2760.5	2596.5
37	6	2804.5	2574.5
37	7	2804.5	2580.5
37	8	2804.5	2591.5
37	9	2804.5	2596.5
37	10	2804.5	2664.5
37	11	2830.5	2591.5
37	12	2830.5	2596.5
37	13	2830.5	2664.5
38	0	2053.5	1641
38	1	2053.5	1643
38	2	2053.5	1672.5
38	3	2093.5	1643
38	4	2093.5	1672.5
38	5	2093.5	1720
38	6	2172	1720
38	7	2172	1780
38	8	2197.5	1720
38	9	2197.5	1748
38	10	2197.5	1780
38	11	2197.5	1807
39	0	2180	1663.5
39	1	2180	1667.5
39	2	2180	1764
39	3	2183	1667.5
39	4	2183	1764
39	5	2188	1764
39	6	2188	1774
39	7	2195.5	1764
39	8	2195.5	1774
39	9	2238.5	1764
39	10	2238.5	1774
39	11	2238.5	1795.5
39	12	2238.5	1806.5
40	0	1548.5	1592.5
40	1	1548.5	1624.5
40	2	1552.5	1592.5
40	3	1552.5	1624.5
41	0	1655	1226.5
41	1	1655	1233
41	2	1655	1256
41	3	1655	1264.5
41	4	1655	1306
41	5	1655	1318.5
41	6	1686.5	1256
41	7	1686.5	1264.5
41	8	1686.5	1306
41	9	1686.5	1318.5
41	10	1698	1256
41	11	1698	1264.5
41	12	1698	1306
41	13	1698	1318.5
41	14	1723.5	1306
41	15	1723.5	1318.5
41	16	1723.5	1363.5
42	0	3156	2879.5
42	1	3156	2895.5
42	2	3183.5	2837.5
42	3	3183.5	2879.5
42	4	3183.5	2895.5
42	5	3183.5	2926
42	6	3183.5	2930
42	7	3187	2837.5
42	8	3187	2879.5
42	9	3187	2895.5
42	10	3187	2926
42	11	3187	2930
42	12	3209.5	2793
42	13	3209.5	2795.5
42	14	3209.5	2837.5
42	15	3209.5	2879.5
42	16	3209.5	2895.5
42	17	3209.5	2926
42	18	3209.5	2930
42	19	3229	2793
42	20	3229	2795.5
42	21	3229	2837.5
42	22	3229	2879.5
42	23	3229	2895.5
42	24	3229	2926
42	25	3229	2930
42	26	3229	2959.5
42	27	3253	2837.5
42	28	3253	2879.5
42	29	3253	2895.5
42	30	3253	2926
42	31	3253	2930
42	32	3253	2959.5
42	33	3280	2837.5
42	34	3280	2879.5
42	35	3280	2895.5
42	36	3280	2926
