event_id,n_u_fired,n_v_fired,roi_ustrip_min,roi_ustrip_max,roi_vstrip_min,roi_vstrip_max,n_uv_fired_sum,n_uv_fired_product,roi_u_width,roi_v_width,roi_uv_width_product,ML_success,CURRENT_success
3222,42,87,2611.0,2761.0,2147.0,2359.0,129,3654,151.0,213.0,32163.0,True,True
3226,34,68,2774.0,2924.0,2412.0,2624.0,102,2312,151.0,213.0,32163.0,False,True
3230,41,47,3355.0,3505.0,2939.0,3151.0,88,1927,151.0,213.0,32163.0,False,False
3231,48,72,2017.0,2167.0,1826.0,2038.0,120,3456,151.0,213.0,32163.0,True,True
3237,78,104,1756.0,1906.0,1594.0,1806.0,182,8112,151.0,213.0,32163.0,True,False
3239,14,94,2153.0,2303.0,1812.0,2024.0,108,1316,151.0,213.0,32163.0,True,True
3243,74,68,2702.0,2852.0,2254.0,2467.0,142,5032,151.0,214.0,32314.0,True,False
3244,89,184,696.0,1003.0,865.0,1464.0,273,16376,308.0,600.0,184800.0,True,False
3245,51,155,463.0,819.0,360.0,1035.0,206,7905,357.0,676.0,241332.0,True,False
3246,555,804,2099.0,3829.0,1138.0,3455.0,1359,446220,1731.0,2318.0,4012458.0,True,True
3254,82,15,3007.0,3157.0,2708.0,2920.0,97,1230,151.0,213.0,32163.0,True,True
3255,40,124,1710.0,1860.0,1668.0,1880.0,164,4960,151.0,213.0,32163.0,True,True
3256,29,90,3497.0,3647.0,2895.0,3107.0,119,2610,151.0,213.0,32163.0,True,True
3257,66,53,3297.0,3447.0,2860.0,3072.0,119,3498,151.0,213.0,32163.0,False,False
3258,66,45,3567.0,3717.0,3060.0,3272.0,111,2970,151.0,213.0,32163.0,True,True
3264,51,96,2683.0,2833.0,2466.0,2678.0,147,4896,151.0,213.0,32163.0,True,True
3266,28,59,1228.0,1378.0,1381.0,1593.0,87,1652,151.0,213.0,32163.0,True,False
3267,64,107,1286.0,1436.0,1386.0,1598.0,171,6848,151.0,213.0,32163.0,True,True
3269,56,90,1155.0,1305.0,933.0,1145.0,146,5040,151.0,213.0,32163.0,True,True
3270,481,820,1854.0,3584.0,924.0,3371.0,1301,394420,1731.0,2448.0,4237488.0,True,True
3276,62,125,3340.0,3490.0,2747.0,2959.0,187,7750,151.0,213.0,32163.0,True,True
3280,51,73,1971.0,2121.0,1430.0,1642.0,124,3723,151.0,213.0,32163.0,True,True
3282,49,87,2512.0,2662.0,2069.0,2281.0,136,4263,151.0,213.0,32163.0,True,False
3286,69,113,1489.0,1639.0,1583.0,1795.0,182,7797,151.0,213.0,32163.0,False,False
3290,34,94,1668.0,1818.0,1485.0,1697.0,128,3196,151.0,213.0,32163.0,False,True
3296,77,92,2532.0,2682.0,2290.0,2503.0,169,7084,151.0,214.0,32314.0,True,False
3298,41,181,1907.0,2073.0,1651.0,2153.0,222,7421,167.0,503.0,84001.0,True,True
3306,37,86,3280.0,3430.0,2452.0,2664.0,123,3182,151.0,213.0,32163.0,True,True
3307,51,81,721.0,871.0,465.0,677.0,132,4131,151.0,213.0,32163.0,True,False
3311,46,72,2282.0,2432.0,2011.0,2223.0,118,3312,151.0,213.0,32163.0,True,False
3316,22,49,3535.0,3685.0,2893.0,3105.0,71,1078,151.0,213.0,32163.0,True,False
3319,82,198,1185.0,1432.0,1279.0,1825.0,280,16236,248.0,547.0,135656.0,True,False
3320,39,18,3327.0,3477.0,2863.0,3075.0,57,702,151.0,213.0,32163.0,False,False
3321,32,91,1285.0,1435.0,1297.0,1509.0,123,2912,151.0,213.0,32163.0,False,True
3323,59,86,2819.0,2969.0,2099.0,2312.0,145,5074,151.0,214.0,32314.0,True,True
3324,68,93,950.0,1100.0,1062.0,1274.0,161,6324,151.0,213.0,32163.0,True,False
3325,60,112,1269.0,1419.0,1386.0,1599.0,172,6720,151.0,214.0,32314.0,False,False
3329,52,74,1966.0,2116.0,1430.0,1642.0,126,3848,151.0,213.0,32163.0,True,True
3330,36,64,3023.0,3173.0,2440.0,2652.0,100,2304,151.0,213.0,32163.0,True,True
3338,71,100,1825.0,1975.0,1358.0,1570.0,171,7100,151.0,213.0,32163.0,True,True
3341,38,101,2781.0,2931.0,2080.0,2292.0,139,3838,151.0,213.0,32163.0,False,False
3345,489,814,1467.0,3197.0,1012.0,3455.0,1303,398046,1731.0,2444.0,4230564.0,False,False
3353,35,92,2984.0,3134.0,2522.0,2734.0,127,3220,151.0,213.0,32163.0,True,False
3356,42,73,2907.0,3057.0,2435.0,2648.0,115,3066,151.0,214.0,32314.0,True,True
3357,59,91,1469.0,1619.0,1387.0,1599.0,150,5369,151.0,213.0,32163.0,True,False
3359,51,87,2126.0,2276.0,2142.0,2355.0,138,4437,151.0,214.0,32314.0,True,True
3360,15,107,1824.0,1974.0,1454.0,1666.0,122,1605,151.0,213.0,32163.0,False,True
3365,71,95,2278.0,2428.0,1887.0,2100.0,166,6745,151.0,214.0,32314.0,False,False
3366,29,88,3231.0,3381.0,2513.0,2725.0,117,2552,151.0,213.0,32163.0,True,True
3372,26,85,3071.0,3221.0,2671.0,2883.0,111,2210,151.0,213.0,32163.0,True,True
3375,53,56,1936.0,2086.0,1782.0,1994.0,109,2968,151.0,213.0,32163.0,True,False
3377,98,219,919.0,1226.0,516.0,1174.0,317,21462,308.0,659.0,202972.0,False,False
3379,55,53,798.0,948.0,970.0,1182.0,108,2915,151.0,213.0,32163.0,False,False
3384,44,85,2341.0,2491.0,1824.0,2036.0,129,3740,151.0,213.0,32163.0,False,False
3387,32,118,1486.0,1636.0,1471.0,1684.0,150,3776,151.0,214.0,32314.0,True,False
3389,31,62,3421.0,3571.0,2801.0,3013.0,93,1922,151.0,213.0,32163.0,True,False
