event_id,roi_ustrip_min,roi_ustrip_max,roi_vstrip_min,roi_vstrip_max,roi_u_width,roi_v_width,n_u_entries_inside_roi,n_v_entries_inside_roi,n_u_unique_inside_roi,n_v_unique_inside_roi,n_u_adcpos_entries_inside_roi,n_v_adcpos_entries_inside_roi,n_u_unique_adcpos_inside_roi,n_v_unique_adcpos_inside_roi,n_uv_entries_inside_roi,n_uv_unique_inside_roi,n_uv_adcpos_entries_inside_roi,n_uv_unique_adcpos_inside_roi
575,1950.0,2100.0,1477.0,1689.0,151.0,213.0,23,97,23,97,23,97,23,97,120,120,120,120
577,2368.0,2518.0,1990.0,2202.0,151.0,213.0,27,49,27,49,27,49,27,49,76,76,76,76
589,2857.0,3007.0,2110.0,2323.0,151.0,214.0,59,96,59,96,59,96,59,96,155,155,155,155
592,2682.0,2832.0,1945.0,2157.0,151.0,213.0,49,65,49,65,49,65,49,65,114,114,114,114
600,2452.0,2602.0,2232.0,2444.0,151.0,213.0,57,91,57,91,57,91,57,91,148,148,148,148
604,2681.0,2831.0,2482.0,2694.0,151.0,213.0,21,51,21,51,21,51,21,51,72,72,72,72
606,2047.0,2197.0,1608.0,1821.0,151.0,214.0,56,105,56,105,56,105,56,105,161,161,161,161
608,2107.0,2257.0,1613.0,1825.0,151.0,213.0,35,66,35,66,35,66,35,66,101,101,101,101
610,1496.0,1646.0,1537.0,1750.0,151.0,214.0,19,52,19,52,19,52,19,52,71,71,71,71
613,1637.0,1787.0,1210.0,1422.0,151.0,213.0,75,77,75,77,75,77,75,77,152,152,152,152
614,3073.0,3361.0,2770.0,3129.0,289.0,360.0,96,96,96,96,96,96,96,96,192,192,192,192
615,2340.0,2490.0,2121.0,2333.0,151.0,213.0,59,67,59,67,59,67,59,67,126,126,126,126
620,1460.0,1610.0,1550.0,1762.0,151.0,213.0,77,96,77,96,77,96,77,96,173,173,173,173
621,1472.0,1622.0,1184.0,1396.0,151.0,213.0,16,84,16,84,16,84,16,84,100,100,100,100
629,1987.0,2137.0,1721.0,1934.0,151.0,214.0,64,85,64,85,64,85,64,85,149,149,149,149
630,1452.0,1602.0,1327.0,1539.0,151.0,213.0,71,49,71,49,71,49,71,49,120,120,120,120
631,2322.0,2472.0,1779.0,1991.0,151.0,213.0,36,100,36,100,36,100,36,100,136,136,136,136
635,3472.0,3622.0,2980.0,3192.0,151.0,213.0,24,29,24,29,24,29,24,29,53,53,53,53
637,1434.0,1584.0,1162.0,1374.0,151.0,213.0,53,64,53,64,53,64,53,64,117,117,117,117
638,773.0,923.0,822.0,1035.0,151.0,214.0,40,18,40,18,40,18,40,18,58,58,58,58
643,1854.0,2004.0,1601.0,1814.0,151.0,214.0,18,95,18,95,18,95,18,95,113,113,113,113
647,1285.0,1435.0,1497.0,1709.0,151.0,213.0,51,79,51,79,51,79,51,79,130,130,130,130
650,1337.0,1487.0,921.0,1133.0,151.0,213.0,65,77,65,77,65,77,65,77,142,142,142,142
656,1875.0,2025.0,1578.0,1790.0,151.0,213.0,61,87,61,87,61,87,61,87,148,148,148,148
660,1825.0,1975.0,1393.0,1605.0,151.0,213.0,45,79,45,79,45,79,45,79,124,124,124,124
661,1420.0,1570.0,1034.0,1246.0,151.0,213.0,65,91,65,91,65,91,65,91,156,156,156,156
665,1576.0,1726.0,1640.0,1852.0,151.0,213.0,36,88,36,88,36,88,36,88,124,124,124,124
672,2290.0,2440.0,1972.0,2185.0,151.0,214.0,66,78,66,78,66,78,66,78,144,144,144,144
674,3325.0,3475.0,2819.0,3032.0,151.0,214.0,48,119,48,119,48,119,48,119,167,167,167,167
675,1329.0,1479.0,1561.0,1773.0,151.0,213.0,64,77,64,77,64,77,64,77,141,141,141,141
677,2416.0,2566.0,1952.0,2165.0,151.0,214.0,16,92,16,92,16,92,16,92,108,108,108,108
680,554.0,704.0,538.0,750.0,151.0,213.0,15,21,15,21,15,21,15,21,36,36,36,36
681,1065.0,1327.0,1167.0,1727.0,263.0,561.0,37,167,37,167,37,167,37,167,204,204,204,204
685,2057.0,2207.0,1469.0,1681.0,151.0,213.0,45,76,45,76,45,76,45,76,121,121,121,121
686,3045.0,3195.0,2550.0,2762.0,151.0,213.0,50,94,50,94,50,94,50,94,144,144,144,144
688,3255.0,3405.0,2790.0,3003.0,151.0,214.0,52,58,52,58,52,58,52,58,110,110,110,110
691,1296.0,1446.0,1431.0,1644.0,151.0,214.0,42,78,42,78,42,78,42,78,120,120,120,120
696,2040.0,2200.0,1212.0,1769.0,161.0,558.0,47,229,47,229,47,229,47,229,276,276,276,276
700,2044.0,2194.0,1807.0,2019.0,151.0,213.0,54,130,54,130,54,130,54,130,184,184,184,184
701,3013.0,3163.0,2710.0,2922.0,151.0,213.0,35,46,35,46,35,46,35,46,81,81,81,81
702,868.0,1152.0,1042.0,1617.0,285.0,576.0,152,217,152,217,152,217,152,217,369,369,369,369
713,1304.0,1554.0,926.0,1526.0,251.0,601.0,111,229,111,229,111,229,111,229,340,340,340,340
715,2156.0,2306.0,1805.0,2017.0,151.0,213.0,54,91,54,91,54,91,54,91,145,145,145,145
717,816.0,966.0,942.0,1154.0,151.0,213.0,71,75,71,75,71,75,71,75,146,146,146,146
719,2567.0,2717.0,2355.0,2568.0,151.0,214.0,40,97,40,97,40,97,40,97,137,137,137,137
720,1874.0,2024.0,1719.0,1931.0,151.0,213.0,65,81,65,81,65,81,65,81,146,146,146,146
723,1398.0,1548.0,1567.0,1779.0,151.0,213.0,37,88,37,88,37,88,37,88,125,125,125,125
724,2807.0,2957.0,2456.0,2668.0,151.0,213.0,91,71,91,71,91,71,91,71,162,162,162,162
726,1979.0,2140.0,1543.0,2060.0,162.0,518.0,30,182,30,182,30,182,30,182,212,212,212,212
728,1578.0,1728.0,1099.0,1311.0,151.0,213.0,42,67,42,67,42,67,42,67,109,109,109,109
731,2581.0,2731.0,2101.0,2313.0,151.0,213.0,88,90,88,90,88,90,88,90,178,178,178,178
743,1739.0,1889.0,1290.0,1502.0,151.0,213.0,29,74,29,74,29,74,29,74,103,103,103,103
745,1056.0,1206.0,1057.0,1270.0,151.0,214.0,117,109,117,109,117,109,117,109,226,226,226,226
750,3478.0,3628.0,2796.0,3008.0,151.0,213.0,34,37,34,37,34,37,34,37,71,71,71,71
761,3313.0,3463.0,2644.0,2856.0,151.0,213.0,36,69,36,69,36,69,36,69,105,105,105,105
763,458.0,815.0,343.0,1020.0,358.0,678.0,47,172,47,172,47,172,47,172,219,219,219,219
764,1285.0,1435.0,1299.0,1511.0,151.0,213.0,34,54,34,54,34,54,34,54,88,88,88,88
765,2022.0,2172.0,1804.0,2016.0,151.0,213.0,55,115,55,115,55,115,55,115,170,170,170,170
